cgpa,attendance,coding_score,projects,internships,communication_score,placed
5.99,98.5,49.0,4,3,92.1,1
5.03,52.2,75.1,3,3,61.5,1
9.08,94.6,58.6,1,1,43.6,0
8.53,76.4,31.8,2,1,55.7,0
8.65,99.6,40.9,3,3,59.0,1
8.86,53.7,80.1,5,0,87.9,1
5.37,77.7,76.1,0,0,81.4,0
6.79,98.5,31.9,5,1,83.9,1
5.58,76.2,45.5,5,0,30.8,0
9.32,81.5,46.2,0,3,59.1,0
8.12,84.8,77.0,5,0,63.7,1
6.65,72.7,31.4,3,1,31.3,0
5.32,81.4,37.3,3,3,48.2,0
6.55,79.2,86.0,3,0,83.2,0
6.63,95.1,42.5,0,2,39.6,0
8.65,52.3,75.7,5,3,67.5,1
8.19,64.0,46.7,0,3,45.1,0
9.44,97.5,37.0,3,2,30.8,1
7.36,94.5,47.0,5,2,46.9,1
5.6,72.8,80.6,5,3,98.3,1
8.57,81.0,89.9,4,2,86.1,1
8.8,63.9,88.1,4,1,97.2,1
7.81,59.4,57.8,1,1,64.1,1
8.85,73.2,76.8,2,1,37.7,0
7.47,67.7,44.3,4,3,68.4,0
7.61,79.2,50.5,0,2,61.8,0
7.14,53.9,92.7,4,2,89.1,1
5.13,98.7,30.9,1,0,36.9,0
5.54,99.3,36.0,5,0,64.2,0
5.16,84.9,44.6,1,2,40.5,0
8.18,76.8,31.9,5,2,52.7,1
6.57,65.5,42.7,5,2,81.6,1
7.54,90.7,70.8,2,3,63.3,1
9.54,84.2,59.5,4,2,56.3,1
6.25,58.1,92.5,0,0,57.6,0
7.05,95.5,87.2,0,3,62.2,1
8.78,91.1,53.9,3,2,85.0,1
6.14,97.5,48.2,5,0,92.4,1
5.38,86.3,56.6,0,3,96.9,0
6.45,80.7,71.3,2,2,85.1,0
5.81,70.9,48.8,5,2,52.1,1
9.65,96.6,73.7,2,2,78.2,1
9.04,93.3,58.7,0,3,60.6,1
8.17,52.3,68.6,0,0,47.8,0
9.36,51.3,60.5,3,0,88.9,0
9.02,68.8,50.6,0,1,32.7,0
5.93,90.5,96.4,5,2,93.1,1
9.46,99.4,83.5,5,1,62.3,1
7.7,57.5,39.8,5,1,74.6,0
9.04,79.7,90.8,3,0,76.2,1
9.48,69.0,64.1,3,3,92.7,1
6.59,98.5,92.6,0,3,74.6,1
5.55,92.1,86.0,1,0,73.0,0
6.14,91.9,59.8,1,3,34.7,0
7.14,73.4,31.6,3,1,66.3,0
9.09,70.7,48.8,0,2,40.5,0
9.3,63.7,67.9,1,0,81.6,1
5.03,52.8,74.3,0,2,65.9,0
7.55,93.2,48.1,0,3,77.6,0
7.09,90.6,39.8,0,2,32.9,0
6.11,100.0,88.4,4,3,35.9,1
5.6,99.8,98.9,5,3,80.1,1
6.69,77.8,66.8,0,1,35.0,0
9.71,88.4,42.0,4,3,35.0,1
6.62,97.2,49.1,3,1,30.8,0
7.59,92.5,31.3,1,1,97.0,0
8.52,62.4,94.0,5,1,81.6,1
6.82,72.5,38.2,1,0,54.7,0
9.86,56.5,70.4,5,0,50.8,1
9.81,97.7,49.2,1,3,54.5,1
6.26,80.3,68.8,5,1,84.2,1
7.49,61.4,75.6,1,0,76.3,0
6.5,83.6,88.1,1,1,43.0,0
6.42,80.9,44.4,1,2,42.2,0
5.18,67.9,30.8,1,2,36.9,0
8.05,55.7,39.6,3,2,76.2,0
7.51,83.6,93.0,0,3,83.5,1
5.26,76.0,91.2,2,1,48.6,0
6.39,88.6,71.8,4,2,31.5,1
9.54,76.0,72.0,2,0,35.8,0
6.2,92.6,76.6,2,2,97.8,0
5.72,77.6,42.3,5,2,50.7,0
7.45,78.0,94.0,0,2,83.8,1
9.93,93.8,59.3,5,3,73.7,1
6.21,70.2,56.8,0,0,56.7,0
8.36,56.7,66.3,0,1,44.4,0
8.81,51.4,33.3,1,0,38.5,0
6.19,87.8,41.6,3,1,73.1,1
8.64,81.0,81.7,1,3,84.2,1
6.84,85.2,35.8,3,3,75.1,1
8.16,60.6,72.2,5,3,67.1,1
8.17,56.8,47.2,3,3,32.9,0
7.68,50.7,57.3,5,1,97.8,0
5.45,67.5,50.2,2,2,85.9,1
9.18,79.5,54.9,2,1,50.5,0
6.6,69.6,80.3,3,0,98.6,0
5.93,71.9,50.8,3,3,72.1,1
5.2,95.2,69.6,5,3,70.8,1
7.95,67.4,63.3,1,0,82.4,1
8.39,75.7,76.5,5,1,86.8,1
5.08,89.2,95.6,1,2,76.0,1
7.56,69.8,81.3,2,2,39.0,0
6.13,81.1,45.0,0,0,53.7,0
8.23,93.1,32.2,3,2,95.0,1
5.87,97.5,48.4,1,1,45.7,0
8.45,57.4,71.7,5,1,56.1,1
6.93,96.3,33.6,2,0,60.2,0
9.68,74.6,64.7,1,1,60.8,0
5.69,62.9,71.8,5,3,72.9,1
6.71,73.0,53.4,3,0,96.0,0
5.57,99.0,84.0,3,1,46.8,1
9.62,74.6,37.5,4,0,38.5,0
9.39,66.4,35.3,0,2,43.8,0
6.29,81.7,81.0,4,1,92.1,1
8.3,62.0,64.7,2,3,75.2,1
9.09,53.8,78.2,1,1,50.0,0
7.78,56.4,60.4,2,0,87.1,0
7.65,56.4,47.2,5,0,90.3,0
6.21,57.6,87.3,3,1,89.3,0
5.47,56.9,86.0,4,3,94.3,1
9.49,82.0,78.6,4,3,47.7,1
9.5,59.1,49.1,4,3,82.9,1
8.17,67.3,71.3,2,0,62.2,0
6.7,94.8,55.3,3,1,88.9,0
6.75,73.7,36.4,1,2,81.0,0
8.63,83.4,94.2,5,0,84.4,1
9.49,58.6,39.6,1,3,75.9,1
9.44,59.6,96.5,2,1,42.4,1
8.9,52.0,61.2,5,3,68.2,1
8.21,58.4,43.0,4,2,98.9,0
5.42,63.9,67.9,0,3,95.6,0
5.81,58.9,91.1,2,3,33.0,0
9.49,54.4,81.3,2,2,41.5,0
8.03,56.0,86.5,3,1,39.2,0
5.05,73.0,76.1,1,0,80.8,0
5.51,60.3,78.5,2,1,87.2,0
8.32,68.2,89.4,2,2,44.9,1
5.03,75.2,47.5,4,3,65.4,0
5.8,84.5,64.3,4,1,88.8,1
7.74,52.0,45.5,5,0,81.3,1
8.46,90.0,99.1,0,2,68.0,1
8.26,81.4,96.1,3,1,71.3,1
6.12,54.1,32.8,0,0,65.6,0
8.56,93.7,79.4,5,2,50.8,1
6.19,96.0,94.8,4,0,69.6,1
6.63,53.1,42.6,1,2,78.2,0
8.73,63.8,69.8,4,3,91.1,1
8.25,90.3,94.1,3,1,74.5,1
9.25,87.4,32.4,4,0,83.3,1
8.29,59.2,78.8,3,2,41.2,1
7.84,60.5,50.8,3,0,62.3,0
5.47,68.5,94.7,3,0,30.7,0
6.84,74.2,98.0,5,1,47.3,1
6.33,80.9,96.1,3,3,80.9,1
6.22,68.4,63.2,3,0,99.4,1
9.87,73.1,90.3,1,2,36.9,1
6.97,87.4,89.1,0,2,58.1,1
9.46,51.8,52.3,2,3,86.0,1
8.16,62.6,88.0,0,2,44.3,0
8.97,85.7,32.6,3,3,68.9,1
7.51,94.8,71.7,1,2,81.3,1
7.88,75.6,46.1,4,1,73.1,0
7.46,76.6,38.4,1,0,43.2,0
5.98,55.4,35.4,3,1,54.9,0
8.61,72.4,78.7,1,0,84.9,0
6.4,76.6,53.8,1,0,68.8,0
5.12,62.1,80.7,3,0,30.4,0
8.23,63.5,34.6,5,1,83.3,0
5.89,68.9,52.1,1,0,32.5,0
9.7,51.0,67.8,2,1,82.2,0
9.77,66.1,85.4,2,3,44.2,1
9.57,60.6,52.3,1,2,97.1,1
6.85,66.4,73.8,5,2,55.8,0
5.08,56.0,92.0,4,0,52.9,0
9.64,94.5,73.1,3,1,40.4,1
7.14,79.7,46.3,2,2,51.4,0
9.83,84.0,31.7,4,1,91.4,1
9.82,89.5,90.9,1,1,99.7,1
9.27,74.9,31.5,4,0,55.8,1
6.47,54.3,91.2,0,2,61.4,0
6.93,76.9,67.0,2,0,80.5,0
9.26,79.3,95.7,1,0,92.0,1
6.58,87.3,85.9,3,2,71.5,1
5.85,71.6,99.9,5,2,57.4,1
7.78,56.4,54.5,1,3,58.9,0
9.68,64.2,83.7,3,3,78.7,1
8.48,68.2,58.1,5,1,30.2,1
7.85,82.3,63.6,5,2,73.4,1
5.49,78.5,73.9,1,3,54.9,1
8.08,67.8,91.2,4,1,85.6,1
9.95,99.3,98.9,4,1,36.5,1
5.7,80.3,83.8,5,1,71.2,1
7.59,61.9,59.2,4,3,63.7,0
9.39,55.1,59.5,0,2,75.0,1
8.7,57.6,81.6,5,0,34.5,1
8.49,62.3,46.7,5,1,70.6,0
8.51,58.0,37.7,3,3,69.3,0
6.8,59.3,54.8,4,3,69.2,0
6.47,64.3,50.1,5,0,72.2,0
9.05,58.7,50.7,0,0,77.4,0
9.05,94.8,46.4,3,3,86.3,1
9.34,54.0,32.9,1,2,48.9,0
9.57,76.2,31.3,5,0,87.8,1
7.56,70.5,99.1,0,3,64.9,1
7.51,99.1,59.9,2,0,35.4,0
8.99,55.6,56.9,0,2,34.1,0
8.25,69.9,77.6,0,1,53.4,0
8.51,98.5,45.3,3,0,84.9,1
8.98,93.3,96.5,1,2,79.5,1
9.45,90.9,85.0,2,3,85.2,1
6.69,62.9,36.3,4,0,66.2,0
6.88,58.5,59.2,4,0,60.8,0
5.47,83.4,91.5,0,3,40.3,0
7.89,96.5,96.1,3,1,53.0,1
5.18,77.8,62.7,3,3,60.4,1
7.33,78.6,72.9,4,0,36.2,0
7.71,64.0,41.7,2,3,45.4,0
6.43,88.5,99.4,1,2,71.9,1
7.95,59.4,46.2,2,3,81.5,0
5.15,66.2,96.0,5,0,99.9,0
5.19,71.3,75.5,5,3,95.3,1
9.11,75.4,72.5,1,1,75.0,1
6.8,62.1,65.9,4,3,59.5,1
5.64,55.7,46.1,1,1,74.5,0
7.61,80.5,42.4,3,2,85.0,1
8.85,64.4,45.4,5,1,38.3,1
6.08,79.1,43.1,0,3,58.7,0
8.11,57.7,84.6,0,0,88.8,0
5.43,74.1,54.5,4,1,56.9,0
5.26,76.6,34.0,3,2,70.0,0
7.66,52.6,97.8,2,1,71.1,1
7.7,66.8,91.9,3,1,42.9,1
8.19,56.7,94.9,0,1,55.4,0
8.63,53.2,99.6,0,2,53.4,0
9.88,99.5,42.2,5,3,31.8,1
7.58,66.1,57.7,3,1,31.7,0
6.61,90.5,83.1,3,1,88.2,1
8.98,62.7,78.7,0,0,49.1,1
6.35,84.1,40.8,2,2,66.3,1
7.19,88.0,87.1,4,1,50.9,1
5.39,79.8,45.7,4,2,95.8,1
5.13,73.6,45.7,3,1,48.2,0
9.81,70.6,67.6,4,3,60.1,1
9.18,67.4,71.5,0,3,91.1,1
8.48,96.5,70.6,0,1,88.9,1
7.04,91.5,36.4,3,3,43.0,0
5.87,98.3,91.4,3,1,86.2,1
5.78,56.2,48.6,5,3,62.1,0
6.25,86.5,39.1,3,0,63.8,0
7.75,96.9,92.2,2,0,39.3,0
8.57,59.1,96.9,4,0,35.6,1
8.3,53.3,90.3,3,2,81.0,1
6.4,87.1,86.7,1,2,64.8,0
9.77,78.7,75.9,5,0,60.6,0
8.69,92.1,68.6,1,2,81.1,1
7.77,57.0,36.1,0,3,83.6,0
8.06,89.8,58.6,4,1,41.1,1
7.1,60.1,56.1,3,1,72.7,0
6.24,58.2,48.2,1,1,39.5,0
6.78,58.2,80.6,4,0,82.6,0
8.79,90.7,64.7,0,2,76.0,1
5.07,83.3,35.7,2,3,97.0,1
5.58,76.2,45.4,5,3,34.8,0
5.23,67.9,77.8,4,0,34.0,0
5.2,93.9,35.3,4,3,49.8,0
9.28,69.6,89.6,2,3,48.3,1
8.52,90.8,64.7,4,3,47.3,1
7.37,72.0,63.6,0,3,93.4,1
5.49,68.8,71.5,0,2,47.5,0
7.46,73.1,87.7,2,3,49.0,1
7.37,65.1,54.3,5,1,83.2,0
5.87,87.4,77.5,3,0,61.5,0
7.17,75.1,69.6,1,2,84.4,0
6.99,61.6,48.7,3,3,34.6,0
8.08,95.0,91.5,4,2,64.1,1
8.18,69.2,85.8,1,3,32.4,1
5.23,77.2,76.1,2,1,34.4,0
6.87,95.3,89.5,2,0,93.5,0
8.13,81.2,90.7,5,3,39.7,1
7.52,55.8,79.6,1,3,67.3,0
9.28,97.0,88.6,0,3,58.8,1
8.29,81.4,78.8,1,3,54.3,1
5.81,66.7,77.6,4,0,93.0,1
5.35,57.0,73.3,0,0,31.5,0
8.21,89.7,82.7,2,1,76.5,1
5.13,81.0,41.1,1,0,97.4,0
7.93,76.7,91.7,3,3,69.2,1
9.7,94.7,91.0,5,1,95.6,1
7.88,89.4,32.0,3,1,33.7,0
6.94,57.6,87.8,5,1,59.3,1
8.22,65.6,39.0,4,3,48.2,1
7.29,62.4,53.5,3,2,81.2,1
7.73,87.2,82.0,1,3,98.7,1
9.71,51.7,41.3,1,0,48.0,0
6.93,78.5,87.3,3,0,75.8,0
9.81,88.1,88.2,1,3,43.9,1
9.53,93.8,65.5,4,3,69.6,1
5.98,67.1,30.4,0,1,62.5,0
5.35,91.1,50.1,4,3,98.0,0
5.5,55.5,73.2,5,1,72.6,0
5.09,92.3,98.7,4,0,54.5,1
5.47,56.4,74.2,5,1,38.0,0
8.42,69.9,48.2,1,3,40.6,0
5.36,89.9,74.4,0,0,45.8,0
6.59,57.5,67.8,1,2,47.6,0
9.22,61.5,84.6,2,1,89.5,1
5.12,86.1,37.5,1,0,69.3,0
9.07,86.0,83.3,5,1,66.6,1
6.41,82.1,67.9,1,0,38.0,0
5.59,84.7,97.4,1,0,90.2,0
8.48,77.1,53.9,0,1,80.6,1
8.14,62.6,74.3,1,2,34.7,1
9.39,67.3,95.2,0,0,79.5,1
8.68,59.1,37.2,3,0,68.0,0
9.02,95.4,95.6,2,0,35.7,1
6.41,79.2,78.2,0,2,62.1,0
5.89,70.0,34.7,5,2,63.9,0
8.75,73.1,51.1,3,3,41.6,1
9.03,97.4,79.6,0,1,96.2,1
9.95,57.7,34.7,0,2,89.5,1
7.06,79.3,70.8,2,1,76.8,1
6.86,75.3,54.2,5,3,62.4,1
8.88,80.6,73.5,4,1,58.8,1
6.7,50.9,33.2,4,2,75.6,0
9.65,93.6,91.0,0,1,68.2,1
9.29,96.6,98.1,1,2,34.4,1
7.14,78.3,97.8,5,1,65.9,1
8.75,84.8,82.5,3,2,86.4,1
8.77,96.1,39.1,1,2,62.1,1
